city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Airai,TL,2022-02-18 01:16:06,-8.9266,125.4092,71.94,65,6,1.3
179,Dingle,PH,2022-02-18 01:16:06,10.9995,122.6711,81.68,72,78,12.48
180,San Quintin,MX,2022-02-18 01:16:07,30.4833,-115.95,60.03,64,0,9.57
181,Chokurdakh,RU,2022-02-18 01:17:07,70.6333,147.9167,-30.23,100,11,1.3
182,Tual,ID,2022-02-18 01:17:08,-5.6667,132.75,82.87,72,81,3.94
183,Nemuro,JP,2022-02-18 01:17:08,43.3236,145.575,25.23,72,86,11.99
184,Agirish,RU,2022-02-18 01:17:09,61.9247,63.0231,16.14,95,60,7.18
185,Umm Lajj,SA,2022-02-18 01:17:10,25.0213,37.2685,67.41,60,100,2.21
186,Bunia,CD,2022-02-18 01:17:10,1.5667,30.25,71.98,45,96,1.3
187,Sierpc,PL,2022-02-18 01:17:10,52.8568,19.6691,39.94,91,100,23.62
188,Cherskiy,RU,2022-02-18 01:17:11,68.75,161.3,-31.52,97,61,1.9
189,Paamiut,GL,2022-02-18 01:17:11,61.994,-49.6678,1.06,86,100,7.99
190,Garowe,SO,2022-02-18 01:17:11,8.4054,48.4845,63.12,82,14,8.41
191,Stokmarknes,NO,2022-02-18 01:17:12,68.5646,14.9108,22.23,71,82,2.28
192,Mairipora,BR,2022-02-18 01:17:12,-23.3186,-46.5867,70.56,94,75,2.3
193,Thompson,CA,2022-02-18 01:17:13,55.7435,-97.8558,-12.84,70,20,4.61
194,Coquimbo,CL,2022-02-18 01:17:13,-29.9533,-71.3436,64.13,94,75,6.91
195,Saint-Philippe,RE,2022-02-18 01:17:13,-21.3585,55.7679,78.39,82,100,12.15
196,Aberdeen,GB,2022-02-18 01:17:14,57.1437,-2.0981,35.49,69,100,4.61
197,Rey Bouba,CM,2022-02-18 01:17:14,8.6724,14.1786,74.61,16,68,2.51
198,Port Alfred,ZA,2022-02-18 01:17:14,-33.5906,26.891,67.46,70,50,8.05
199,Kousseri,CM,2022-02-18 01:17:15,12.0769,15.0306,73.96,15,6,9.17
200,Makakilo City,US,2022-02-18 01:17:15,21.3469,-158.0858,82.72,55,0,14.97
201,Constitucion,CL,2022-02-18 01:17:15,-35.3333,-72.4167,58.41,76,0,15.37
