City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Moron,AR,-34.6534,-58.6198,72.99,82,0,10.58,clear sky
255,Laguna,US,38.421,-121.4238,62.58,52,0,4.61,clear sky
256,Xingcheng,CN,40.6167,120.7167,19.4,38,0,17.36,clear sky
257,Curitibanos,BR,-27.2828,-50.5844,55.24,95,5,4.88,clear sky
258,Rodrigues Alves,BR,-7.738,-72.6509,72.3,97,69,1.95,broken clouds
259,Jagatsinghapur,IN,20.2667,86.1667,66.56,62,0,2.84,clear sky
260,Navolato,MX,24.7672,-107.6944,68.18,73,73,8.99,broken clouds
261,Doha,QA,25.2867,51.5333,64.29,88,0,5.75,clear sky
262,Hondo,JP,32.45,130.2,42.75,81,100,10.4,light rain
263,Shache,CN,38.4167,77.2406,28.71,46,7,0.07,clear sky
264,Somerset,US,40.5668,-74.5496,33.51,49,0,5.75,clear sky
265,Ulaangom,MN,49.9811,92.0667,-14.03,95,96,2.42,overcast clouds
266,Laki,BG,41.85,24.8167,21.6,62,0,4.38,clear sky
267,Chernyshevskiy,RU,63.0128,112.4714,-20.51,100,100,1.59,overcast clouds
268,Nabire,ID,-3.3667,135.4833,80.08,80,100,0.54,overcast clouds
269,Samarai,PG,-10.6167,150.6667,85.59,69,66,8.75,broken clouds
270,Jackson,US,42.4165,-122.8345,58.87,50,0,0.0,clear sky
271,Leningradskiy,RU,69.3833,178.4167,-18.89,97,100,5.68,overcast clouds
272,Vao,NC,-22.6667,167.4833,80.31,73,22,1.83,light rain
273,Lompoc,US,34.6391,-120.4579,60.39,85,75,6.91,mist
274,Ndele,CF,8.4109,20.6473,71.47,19,44,5.95,scattered clouds
275,Abbeyleix,IE,52.8992,-7.3575,35.01,90,64,7.0,broken clouds
276,Kochki,RU,54.3358,80.4806,6.84,92,100,8.86,overcast clouds
277,Bilibino,RU,68.0546,166.4372,-17.64,98,84,1.95,broken clouds
278,Suntar,RU,62.1444,117.6319,-17.97,100,100,1.92,overcast clouds
279,Booue,GA,-0.0921,11.9385,75.02,88,97,2.17,overcast clouds
280,Pombas,CV,17.1503,-25.0201,67.78,62,0,16.69,clear sky
281,Komsomolskiy,UZ,40.4272,71.7189,31.42,74,0,6.91,clear sky
282,Olinda,BR,-8.0089,-34.8553,82.13,78,93,4.61,overcast clouds
283,Vibo Valentia,IT,38.6996,16.1274,54.64,76,0,2.13,clear sky
284,Erzin,TR,36.9559,36.2,43.52,70,76,4.79,broken clouds
285,Bowen,AU,-20.0167,148.2333,85.12,60,7,13.49,clear sky
286,Zamora,EC,-4.0692,-78.9567,69.03,98,100,3.67,light rain
287,Jizan,SA,17.3333,42.6667,76.14,81,0,2.59,clear sky
288,Tiznit,MA,29.5833,-9.5,50.0,86,78,0.96,broken clouds
289,Bow Island,CA,49.8668,-111.3684,26.62,73,99,16.11,overcast clouds
290,Najran,SA,17.4924,44.1277,59.65,32,1,1.95,clear sky
291,Taboga,IT,46.2663,13.1092,48.65,95,100,1.12,overcast clouds
292,Norman Wells,CA,65.282,-126.8329,-5.76,65,100,5.75,overcast clouds
293,Mpulungu,ZM,-8.7623,31.1141,70.32,86,92,2.57,light rain
294,Ust-Maya,RU,60.4167,134.5333,-15.48,90,100,1.57,overcast clouds
295,Springbok,ZA,-29.6643,17.8865,69.19,56,0,2.98,clear sky
296,Yilan,TW,24.757,121.753,64.26,93,100,6.53,light rain
297,Barmer,IN,25.75,71.3833,62.06,28,0,7.58,clear sky
298,Cayenne,GF,4.9333,-52.3333,75.09,91,0,0.0,clear sky
299,Ahipara,NZ,-35.1667,173.1667,71.85,70,97,4.54,overcast clouds
300,Ahuimanu,US,21.4447,-157.8378,82.11,66,20,12.66,few clouds
301,Aktau,KZ,43.65,51.2,28.98,53,100,11.68,overcast clouds
302,Broken Hill,AU,-31.95,141.4333,76.12,28,0,10.02,clear sky
303,Kulhudhuffushi,MV,6.6221,73.07,82.65,71,93,16.73,overcast clouds
304,Pyapon,MM,16.2833,95.6833,80.44,36,100,5.53,overcast clouds
305,Touros,BR,-5.1989,-35.4608,79.7,81,18,8.16,few clouds
306,Saint Anthony,US,45.0205,-93.218,8.65,64,100,23.02,overcast clouds
307,Caconda,AO,-13.7333,15.0667,59.65,95,100,2.53,overcast clouds
308,Nemuro,JP,43.3236,145.575,27.03,58,19,10.13,few clouds
309,Acapulco,MX,16.8634,-99.8901,78.62,78,20,2.3,few clouds
310,Walvis Bay,NA,-22.9575,14.5053,71.1,83,39,4.61,scattered clouds
311,Biak,ID,-0.9131,122.8766,79.47,79,100,2.95,overcast clouds
312,Pisco,PE,-13.7,-76.2167,71.65,78,40,10.36,scattered clouds
313,Gat,IL,31.61,34.7642,57.07,100,100,3.62,overcast clouds
314,Denpasar,ID,-8.65,115.2167,83.86,83,20,5.75,few clouds
315,Hofn,IS,64.2539,-15.2082,24.48,61,99,14.92,overcast clouds
316,Oriximina,BR,-1.7656,-55.8661,72.37,97,100,3.04,overcast clouds
317,Ayan,RU,56.45,138.1667,8.76,60,100,5.48,overcast clouds
318,Centralia,US,46.7162,-122.9543,48.47,88,0,4.61,clear sky
319,Balykshi,KZ,47.0667,51.8667,26.6,93,9,11.18,mist
320,Alihe,CN,50.5667,123.7167,5.85,78,94,2.75,overcast clouds
321,Bourail,NC,-21.5667,165.4833,84.18,69,96,6.69,light rain
322,Vanimo,PG,-2.6741,141.3028,82.36,82,100,2.98,moderate rain
323,Kota Kinabalu,MY,5.9749,116.0724,85.98,70,20,5.75,few clouds
324,Cubara,CO,7.0008,-72.1085,75.76,70,90,2.84,overcast clouds
325,Manokwari,ID,-0.8667,134.0833,76.8,90,100,1.83,overcast clouds
326,Aguimes,ES,27.9054,-15.4461,61.43,68,40,16.11,scattered clouds
327,Dandong,CN,40.1292,124.3947,20.88,47,1,12.93,clear sky
328,Codrington,AU,-38.2667,141.9667,68.88,44,11,11.68,few clouds
329,Manadhoo,MV,5.7667,73.3833,82.31,71,54,15.7,broken clouds
330,Katsuura,JP,35.1333,140.3,47.19,58,100,14.58,light rain
331,Kaohsiung,TW,22.6163,120.3133,71.55,79,75,6.91,haze
332,Togur,RU,58.3631,82.8265,13.17,95,98,6.85,overcast clouds
333,Talnakh,RU,69.4865,88.3972,7.21,95,100,18.68,snow
334,Stornoway,GB,58.2093,-6.3865,33.93,93,100,8.05,overcast clouds
335,Lagawe,PH,16.8,121.1192,80.58,67,24,4.07,few clouds
336,Hilton Head Island,US,32.2163,-80.7526,62.65,66,100,1.99,overcast clouds
337,Campo Maior,BR,-4.8278,-42.1686,73.29,93,100,1.92,overcast clouds
338,Pontianak,ID,-0.0333,109.3333,84.18,74,40,2.3,scattered clouds
339,Ambilobe,MG,-13.2,49.05,73.49,94,100,1.99,overcast clouds
340,Berbera,SO,10.4396,45.0143,71.71,77,5,2.98,clear sky
341,Hauterive,FR,46.0901,3.4459,45.36,87,100,5.53,overcast clouds
342,Kirakira,SB,-10.4544,161.9205,84.33,74,99,3.49,overcast clouds
